Link Skoob,Nome,Coletado?
https://www.skoob.com.br/de-lula-a-bolsonaro-12193739ed12174666.html,De Lula a Bolsonaro,False
https://www.skoob.com.br/a-nova-america-latina-11832933ed11832581.html,A nova América Latina,False
https://www.skoob.com.br/o-poder-da-comunicacao-550842ed561165.html,O Poder da Comunicação,False
https://www.skoob.com.br/os-inimigos-intimos-da-democracia-258897ed289863.html,Os Inimigos Íntimos da Democracia,False
https://www.skoob.com.br/a-sociedade-em-rede-312ed420.html,A Sociedade em Rede,False
https://www.skoob.com.br/o-poder-da-identidade-761013ed764702.html,O Poder da Identidade,False
https://www.skoob.com.br/caliban-y-la-bruja-687741ed690439.html,Calibán y la bruja,False
https://www.skoob.com.br/reencantando-o-mundo-12051403ed12037660.html,Reencantando o mundo,False
https://www.skoob.com.br/debates-feministas-837637ed842664.html,Debates Feministas,False
https://www.skoob.com.br/50-anos-de-feminismo-669789ed671635.html,50 Anos de Feminismo,False
https://www.skoob.com.br/dominio-do-meu-corpo-11785831ed11791436.html,DOMINIO DO MEU CORPO,False
https://www.skoob.com.br/salve-o-matriarcado-11810416ed11811172.html,Salve o matriarcado,False
https://www.skoob.com.br/homo-inc-orporeted-11671267ed11687421.html,Homo Inc-orporeted,False
https://www.skoob.com.br/as-guerrilheiras-1025021ed1027292.html,As guerrilheiras,False
https://www.skoob.com.br/a-history-of-women-philosophers-ancient-women-philosophers-600-b-c-500-a-d-12217623ed12198717.html,A History of Women Philosophers: Ancient Women Philosophers 600 B. C. - 500 A. D,False
https://www.skoob.com.br/teoria-da-reproducao-social-122299633ed122304527.html,Teoria da Reprodução Social,False
https://www.skoob.com.br/o-livro-essencial-das-bruxas-122344800ed122350911.html,O livro essencial das bruxas,False
https://www.skoob.com.br/o-reflexo-atual-da-subjugacao-feminina-122342362ed122348355.html,O Reflexo atual da subjugação feminina,False
https://www.skoob.com.br/witches-witch-hunting-and-women-864791ed869925.html,"Witches, Witch-Hunting and Women",False
https://www.skoob.com.br/caliban-y-la-bruja-517995ed524977.html,Calibán y la bruja,False
https://www.skoob.com.br/caliban-and-the-witch-691148ed694062.html,Caliban and the Witch,False
https://www.skoob.com.br/il-punto-zero-della-rivolucione-543807ed553454.html,Il Punto Zero Della Rivolucione,False
https://www.skoob.com.br/civilizacion-capitalista-806877ed811055.html,Civilización Capitalista,False
https://www.skoob.com.br/a-feiticeira-52612ed57881.html,A Feiticeira,False
https://www.skoob.com.br/as-cinzas-da-feiticeira-64202ed70886.html,As Cinzas da Feiticeira,False
https://www.skoob.com.br/a-feiticeira-244801ed274041.html,A Feiticeira,False
https://www.skoob.com.br/a-feiticeira-20849ed22502.html,A Feiticeira,False
https://www.skoob.com.br/mulheres-que-nao-sabem-chorar-366574ed413264.html,Mulheres que não sabem chorar,False
https://www.skoob.com.br/revolution-at-point-zero-738097ed740685.html,Revolution at Point Zero,False
https://www.skoob.com.br/revolucion-en-punto-cero-867600ed873224.html,Revolución en Punto Cero,False
https://www.skoob.com.br/o-ponto-zero-da-revolucao-877898ed883922.html,O Ponto Zero da Revolução,False
https://www.skoob.com.br/mulheres-e-caca-as-bruxas-936402ed943448.html,Mulheres e caça às bruxas,False
https://www.skoob.com.br/a-potencia-feminista-ou-o-desejo-de-transformar-tudo-1125673ed1129115.html,"A potência feminista, ou o desejo de transformar tudo",False
https://www.skoob.com.br/a-elite-do-atraso-716685ed718355.html,A elite do atraso,False
https://www.skoob.com.br/a-tolice-da-inteligencia-brasileira-790773ed793938.html,A Tolice da Inteligência Brasileira,False
https://www.skoob.com.br/a-radiografia-do-golpe-598395ed599978.html,A radiografia do golpe,False
https://www.skoob.com.br/subcidadania-brasileira-780149ed784886.html,Subcidadania Brasileira,False
https://www.skoob.com.br/a-elite-do-atraso-850382ed855970.html,A Elite do Atraso,False
https://www.skoob.com.br/as-direitas-nas-redes-e-nas-ruas-961370ed962263.html,As direitas nas redes e nas ruas,False
https://www.skoob.com.br/a-guerra-contra-o-brasil-1109205ed1112375.html,A guerra contra o Brasil,False
https://www.skoob.com.br/a-rale-brasileira-160638ed179264.html,A Ralé Brasileira,False
https://www.skoob.com.br/a-participacao-em-sao-paulo-172405ed192196.html,A participação em São Paulo,False
https://www.skoob.com.br/perigosas-pedaladas-625350ed626316.html,Perigosas Pedaladas,False
https://www.skoob.com.br/o-medo-da-queda-813359ed817442.html,O Medo da Queda,False
https://www.skoob.com.br/como-o-racismo-criou-o-brasil-11982526ed11973723.html,Como o racismo criou o Brasil,False
https://www.skoob.com.br/travessia-12085291ed12069931.html,Travessia,False
